frame	source	orientation	width	height
Video-71304_15.jpg	Video-71304.mp4	vertical	720	1280
Video-78053_00.jpg	Video-78053.mp4	landscape	852	478
Video-78053_01.jpg	Video-78053.mp4	landscape	852	478
Video-78053_02.jpg	Video-78053.mp4	landscape	852	478
Video-78053_03.jpg	Video-78053.mp4	landscape	852	478
Video-78053_04.jpg	Video-78053.mp4	landscape	852	478
Video-78053_05.jpg	Video-78053.mp4	landscape	852	478
Video-78053_06.jpg	Video-78053.mp4	landscape	852	478
Video-78053_07.jpg	Video-78053.mp4	landscape	852	478
Video-78053_08.jpg	Video-78053.mp4	landscape	852	478
Video-78053_09.jpg	Video-78053.mp4	landscape	852	478
Video-78053_10.jpg	Video-78053.mp4	landscape	852	478
Video-78053_11.jpg	Video-78053.mp4	landscape	852	478
Video-78053_12.jpg	Video-78053.mp4	landscape	852	478
Video-78053_13.jpg	Video-78053.mp4	landscape	852	478
Video-78053_14.jpg	Video-78053.mp4	landscape	852	478
Video-78053_15.jpg	Video-78053.mp4	landscape	852	478
Video-7820_00.jpg	Video-7820.mp4	landscape	1280	720
Video-7820_01.jpg	Video-7820.mp4	landscape	1280	720
Video-7820_02.jpg	Video-7820.mp4	landscape	1280	720
Video-7820_03.jpg	Video-7820.mp4	landscape	1280	720
Video-7820_04.jpg	Video-7820.mp4	landscape	1280	720
Video-7820_05.jpg	Video-7820.mp4	landscape	1280	720
Video-7820_06.jpg	Video-7820.mp4	landscape	1280	720
Video-7820_07.jpg	Video-7820.mp4	landscape	1280	720
Video-7820_08.jpg	Video-7820.mp4	landscape	1280	720
Video-7820_09.jpg	Video-7820.mp4	landscape	1280	720
Video-7820_10.jpg	Video-7820.mp4	landscape	1280	720
Video-7820_11.jpg	Video-7820.mp4	landscape	1280	720
Video-7820_12.jpg	Video-7820.mp4	landscape	1280	720
Video-7820_13.jpg	Video-7820.mp4	landscape	1280	720
Video-7820_14.jpg	Video-7820.mp4	landscape	1280	720
Video-7820_15.jpg	Video-7820.mp4	landscape	1280	720
Video-95502_00.jpg	Video-95502.mp4	landscape	1276	718
Video-95502_01.jpg	Video-95502.mp4	landscape	1276	718
Video-95502_02.jpg	Video-95502.mp4	landscape	1276	718
Video-95502_03.jpg	Video-95502.mp4	landscape	1276	718
Video-95502_04.jpg	Video-95502.mp4	landscape	1276	718
Video-95502_05.jpg	Video-95502.mp4	landscape	1276	718
Video-95502_06.jpg	Video-95502.mp4	landscape	1276	718
Video-95502_07.jpg	Video-95502.mp4	landscape	1276	718
Video-95502_08.jpg	Video-95502.mp4	landscape	1276	718
Video-95502_09.jpg	Video-95502.mp4	landscape	1276	718
Video-95502_10.jpg	Video-95502.mp4	landscape	1276	718
Video-95502_11.jpg	Video-95502.mp4	landscape	1276	718
Video-95502_12.jpg	Video-95502.mp4	landscape	1276	718
Video-95502_13.jpg	Video-95502.mp4	landscape	1276	718
Video-95502_14.jpg	Video-95502.mp4	landscape	1276	718
Video-95502_15.jpg	Video-95502.mp4	landscape	1276	718
Video-98572_00.jpg	Video-98572.mp4	vertical	720	1280
Video-98572_01.jpg	Video-98572.mp4	vertical	720	1280
Video-98572_02.jpg	Video-98572.mp4	vertical	720	1280
Video-98572_03.jpg	Video-98572.mp4	vertical	720	1280
Video-98572_04.jpg	Video-98572.mp4	vertical	720	1280
Video-98572_05.jpg	Video-98572.mp4	vertical	720	1280
Video-98572_06.jpg	Video-98572.mp4	vertical	720	1280
Video-98572_07.jpg	Video-98572.mp4	vertical	720	1280
Video-98572_08.jpg	Video-98572.mp4	vertical	720	1280
Video-98572_09.jpg	Video-98572.mp4	vertical	720	1280
Video-98572_10.jpg	Video-98572.mp4	vertical	720	1280
Video-98572_11.jpg	Video-98572.mp4	vertical	720	1280
Video-98572_12.jpg	Video-98572.mp4	vertical	720	1280
Video-98572_13.jpg	Video-98572.mp4	vertical	720	1280
Video-98572_14.jpg	Video-98572.mp4	vertical	720	1280
Video-98572_15.jpg	Video-98572.mp4	vertical	720	1280
